"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"41467.980809";"Average speed (GPS)";"0.0278854886766721";"mph";"39.3562582";"-94.2313902";
"41467.980809";"Speed (GPS)";"0";"mph";"39.3562582";"-94.2313902";
"41468.105809";"Average speed";"0";"mph";"39.3562582";"-94.2313902";
"41468.105809";"Distance travelled";"0";"miles";"39.3562582";"-94.2313902";
"41468.105809";"Distance travelled (total)";"0";"miles";"39.3562582";"-94.2313902";
"41468.105809";"Vehicle acceleration";"0";"m/s²";"39.3562582";"-94.2313902";
"41468.105809";"Vehicle speed";"0";"mph";"39.3562582";"-94.2313902";
"41468.433809";"Altitude (GPS)";"829.52907543457";"feet";"39.35620615";"-94.231298";
"41468.435809";"Altitude (GPS)";"829.52907543457";"feet";"39.35620615";"-94.231298";
"41468.435809";"Average speed (GPS)";"0.0267673504643144";"mph";"39.35620615";"-94.231298";
"41468.435809";"Speed (GPS)";"0";"mph";"39.35620615";"-94.231298";
"41468.550809";"Average speed";"0";"mph";"39.35620615";"-94.231298";
"41468.550809";"Distance travelled";"0";"miles";"39.35620615";"-94.231298";
"41468.550809";"Distance travelled (total)";"0";"miles";"39.35620615";"-94.231298";
"41468.550809";"Vehicle acceleration";"0";"m/s²";"39.35620615";"-94.231298";
"41468.550809";"Vehicle speed";"0";"mph";"39.35620615";"-94.231298";
"41468.929809";"Altitude (GPS)";"878.608911950684";"feet";"39.356151";"-94.2313727";
"41468.929809";"Altitude (GPS)";"878.608911950684";"feet";"39.356151";"-94.2313727";
"41468.929809";"Altitude (GPS)";"878.608911950684";"feet";"39.356151";"-94.2313727";
"41468.929809";"Average speed (GPS)";"0.0256499103737357";"mph";"39.356151";"-94.2313727";
"41468.929809";"Average speed (GPS)";"0.0256495486660951";"mph";"39.356151";"-94.2313727";
"41468.929809";"Speed (GPS)";"0";"mph";"39.356151";"-94.2313727";
"41468.929809";"Speed (GPS)";"0";"mph";"39.356151";"-94.2313727";
"41468.998809";"Average speed";"0";"mph";"39.356151";"-94.2313727";
"41468.998809";"Distance travelled";"0";"miles";"39.356151";"-94.2313727";
"41468.998809";"Distance travelled (total)";"0";"miles";"39.356151";"-94.2313727";
"41468.998809";"Vehicle acceleration";"0";"m/s²";"39.356151";"-94.2313727";
"41468.998809";"Vehicle speed";"0";"mph";"39.356151";"-94.2313727";
"41469.445809";"Altitude (GPS)";"829.227303835449";"feet";"39.35620159";"-94.23129982";
"41469.458809";"Altitude (GPS)";"829.227303835449";"feet";"39.35620159";"-94.23129982";
"41469.458809";"Altitude (GPS)";"829.227303835449";"feet";"39.35620159";"-94.23129982";
"41469.458809";"Average speed (GPS)";"0.024553790324385";"mph";"39.35620159";"-94.23129982";
"41469.458809";"Average speed (GPS)";"0.024553464824523";"mph";"39.35620159";"-94.23129982";
"41469.458809";"Speed (GPS)";"0";"mph";"39.35620159";"-94.23129982";
"41469.458809";"Speed (GPS)";"0";"mph";"39.35620159";"-94.23129982";
"41469.475809";"Average speed";"0";"mph";"39.35620159";"-94.23129982";
"41469.475809";"Distance travelled";"0";"miles";"39.35620159";"-94.23129982";
"41469.475809";"Distance travelled (total)";"0";"miles";"39.35620159";"-94.23129982";
"41469.475809";"Vehicle acceleration";"0";"m/s²";"39.35620159";"-94.23129982";
"41469.475809";"Vehicle speed";"0";"mph";"39.35620159";"-94.23129982";
"41469.853809";"Average speed";"0";"mph";"39.35620159";"-94.23129982";
"41469.853809";"Distance travelled";"0";"miles";"39.35620159";"-94.23129982";
"41469.853809";"Distance travelled (total)";"0";"miles";"39.35620159";"-94.23129982";
"41469.853809";"Vehicle acceleration";"0";"m/s²";"39.35620159";"-94.23129982";
"41469.853809";"Vehicle speed";"0";"mph";"39.35620159";"-94.23129982";
"41469.981809";"Altitude (GPS)";"878.937015975342";"feet";"39.35620159";"-94.23129982";
"41469.981809";"Average speed (GPS)";"0.0235570080746791";"mph";"39.35620159";"-94.23129982";
"41469.981809";"Speed (GPS)";"0";"mph";"39.35620159";"-94.23129982";
"41469.982809";"Altitude (GPS)";"878.937015975342";"feet";"39.35620159";"-94.23129982";
